coluna,cardinalidade_operacional,estrategia_pipe_contrato,classificacao_legado,tem_pipe,n_linhas_com_pipe,divergencia_legado_vs_contrato,risco,acao_recomendada
forma_vida_exotica_bromelioide,estruturado_condicional_esparso,resolver_por_elegibilidade_relevance_necessaria,pipe_residual_operacional,FALSE,0,TRUE,baixo_ou_sem_pipe,aguardar_contexto_relevance_antes_de_migrar
forma_vida_exotica_cactacea,estruturado_condicional_esparso,resolver_por_elegibilidade_relevance_necessaria,pipe_residual_operacional,FALSE,0,TRUE,baixo_ou_sem_pipe,aguardar_contexto_relevance_antes_de_migrar
forma_vida_exotica_orquidea,estruturado_condicional_esparso,resolver_por_elegibilidade_relevance_necessaria,pipe_residual_operacional,FALSE,0,TRUE,baixo_ou_sem_pipe,aguardar_contexto_relevance_antes_de_migrar
forma_vida_exotica_samambaia,estruturado_condicional_esparso,resolver_por_elegibilidade_relevance_necessaria,pipe_residual_operacional,FALSE,0,TRUE,baixo_ou_sem_pipe,aguardar_contexto_relevance_antes_de_migrar
forma_vida_seca_morta_bromelioide,estruturado_condicional_esparso,resolver_por_elegibilidade_relevance_necessaria,pipe_residual_operacional,FALSE,0,TRUE,baixo_ou_sem_pipe,aguardar_contexto_relevance_antes_de_migrar
forma_vida_seca_morta_cactacea,estruturado_condicional_esparso,resolver_por_elegibilidade_relevance_necessaria,pipe_residual_operacional,FALSE,0,TRUE,baixo_ou_sem_pipe,aguardar_contexto_relevance_antes_de_migrar
forma_vida_seca_morta_orquidea,estruturado_condicional_esparso,resolver_por_elegibilidade_relevance_necessaria,pipe_residual_operacional,FALSE,0,TRUE,baixo_ou_sem_pipe,aguardar_contexto_relevance_antes_de_migrar
forma_vida_seca_morta_samambaia,estruturado_condicional_esparso,resolver_por_elegibilidade_relevance_necessaria,pipe_residual_operacional,FALSE,0,TRUE,baixo_ou_sem_pipe,aguardar_contexto_relevance_antes_de_migrar
MONITORA_ARQUIVO_ORIGEM_EXECUCAO,,diagnosticar_sem_match_nao_forcar,pipe_residual_tecnico_tolerado,FALSE,0,TRUE,baixo_ou_sem_pipe,diagnosticar_nao_migrar
MONITORA_CAMINHO_ARQUIVO_ENTRADA,,diagnosticar_sem_match_nao_forcar,pipe_residual_tecnico_tolerado,FALSE,0,TRUE,baixo_ou_sem_pipe,diagnosticar_nao_migrar
MONITORA_ARQUIVO_ENTRADA,,diagnosticar_sem_match_nao_forcar,pipe_residual_tecnico_tolerado,FALSE,0,TRUE,baixo_ou_sem_pipe,diagnosticar_nao_migrar
.id,,diagnosticar_sem_match_nao_forcar,pipe_residual_tecnico_tolerado,FALSE,0,TRUE,baixo_ou_sem_pipe,diagnosticar_nao_migrar
MONITORA_TIPO_ENTRADA,,diagnosticar_sem_match_nao_forcar,pipe_residual_tecnico_tolerado,FALSE,0,TRUE,baixo_ou_sem_pipe,diagnosticar_nao_migrar
monitora_status_registros_corrig,,diagnosticar_sem_match_nao_forcar,pipe_residual_tecnico_tolerado,FALSE,0,TRUE,baixo_ou_sem_pipe,diagnosticar_nao_migrar
monitora_pendencia_impeditiva,,diagnosticar_sem_match_nao_forcar,pipe_residual_tecnico_tolerado,FALSE,0,TRUE,baixo_ou_sem_pipe,diagnosticar_nao_migrar
monitora_pendencia_impeditiva_tipo,,diagnosticar_sem_match_nao_forcar,pipe_residual_tecnico_tolerado,FALSE,0,TRUE,baixo_ou_sem_pipe,diagnosticar_nao_migrar
monitora_pendencia_impeditiva_msg,,diagnosticar_sem_match_nao_forcar,pipe_residual_tecnico_tolerado,FALSE,0,TRUE,baixo_ou_sem_pipe,diagnosticar_nao_migrar
